CP3,Northing,Easting,Elevation
dem1256,4483166.17,343995.638,2054.27
dem1257,4483166.224,343996.499,2054.267
dem1258,4483166.278,343997.412,2054.306
dem1259,4483165.912,343996.872,2054.322
dem1260,4483165.641,343995.88,2054.169
dem1261,4483165.411,343994.729,2054.109
dem1262,4483165.437,343993.638,2054.176
dem1263,4483165.785,343992.533,2054.266
dem1264,4483165.84,343991.518,2054.439
dem1265,4483165.473,343990.46,2054.45
dem1266,4483165.278,343989.384,2054.688
dem1267,4483165.254,343988.396,2054.804
dem1268,4483164.989,343987.46,2054.98
dem1269,4483164.773,343986.54,2055.044
dem1270,4483164.999,343985.331,2055.202
dem1271,4483165.468,343984.482,2055.449
dem1272,4483165.82,343983.491,2055.565
dem1273,4483166.338,343982.705,2055.765
dem1274,4483167.389,343982.536,2055.912
dem1275,4483168.049,343982.692,2056.003
dem1276,4483168.889,343982.823,2056.072
dem1277,4483169.838,343983.195,2056.025
dem1278,4483170.831,343983.404,2056.013
dem1279,4483171.888,343983.392,2055.937
dem1280,4483172.945,343983.311,2055.992
dem1281,4483173.967,343983.073,2055.852
dem1282,4483173.967,343983.073,2055.852
dem1283,4483174.843,343982.926,2055.834
dem1284,4483175.234,343982.946,2055.82
dem1285,4483175.37,343982.972,2055.846
dem1286,4483175.37,343982.972,2055.846
dem1287,4483175.872,343982.865,2055.874
dem1288,4483176.424,343982.552,2055.949
dem1289,4483176.424,343982.552,2055.949
dem1290,4483177.076,343982.412,2055.954
dem1291,4483177.488,343982.005,2055.961
dem1292,4483177.488,343982.005,2055.961
dem1293,4483178.117,343982.034,2055.909
